x	                  f0	                  f1	                  f2	                  f3	                  f4	                  f5	
0	                3.14	                3.14	                 0.0	                 0.0	division by zero                 0.0	
1	 -3.1399960176244743	   1.696549240425959	  0.8414709848078965	                 2.0	                 2.0	                -3.8	
2	   3.139984070507998	 -1.3067010667580272	  0.9092974268256817	                 4.0	                 1.0	                -7.6	
3	 -3.1399641586808764	 -3.1085764393253985	  0.1411200080598672	                 6.0	  0.6666666666666666	               -11.4	
4	   3.139936282193616	 -2.0524409695117414	 -0.7568024953079282	                 8.0	                 0.5	               -15.2	
5	 -3.1399004411169273	  0.8906992623545305	 -0.9589242746631385	                10.0	                 0.4	               -19.0	
6	  3.1398566355417223	    3.01493470008215	-0.27941549819892586	                12.0	  0.3333333333333333	               -22.8	
7	  -3.139804865579116	  2.3672530786379764	  0.6569865987187891	                14.0	  0.2857142857142857	               -26.6	
8	   3.139745131360425	-0.45687010615904655	  0.9893582466233818	                16.0	                0.25	               -30.4	
9	 -3.1396774330371686	 -2.8609490223178855	  0.4121184852417566	                18.0	  0.2222222222222222	               -34.2	
10	   3.139601770781066	  -2.634684601300061	 -0.5440211108893698	                20.0	                 0.2	               -38.0	
